isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description,simple_categories
9780030547744,0030547741,Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,http://books.google.com/books/content?id=IHpRwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A young boy living in the Ozarks achieves his heart's desire when he becomes the owner of two redbone hounds and teaches them to be champion hunters.,2000.0,4.37,288.0,95.0,Where the Red Fern Grows: The Story of Two Dogs and a Boy : with Connections,9780030547744 A young boy living in the Ozarks achieves his heart's desire when he becomes the owner of two redbone hounds and teaches them to be champion hunters.,Children's Fiction
9780060004507,0060004509,An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,http://books.google.com/books/content?id=SKYr4V6C1M0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,An adaptation of the original story follows the activities of seven children in nineteenth-century New England as they prepare for the Thanksgiving holiday while Mother is away caring for Grandmother.,2005.0,3.7,32.0,599.0,An Old-Fashioned Thanksgiving,9780060004507 An adaptation of the original story follows the activities of seven children in nineteenth-century New England as they prepare for the Thanksgiving holiday while Mother is away caring for Grandmother.,Children's Fiction
9780060099459,0060099453,"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,http://books.google.com/books/content?id=SYCULYl-p-IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It's Christmas Eve, and Amelia Bedelia has to get the Rogers house ready for a visit from Aunt Myra. But with Amelia Bedelia in charge, this Christmas will be one of the funniest ever!",2002.0,4.29,64.0,2452.0,"Merry Christmas, Amelia Bedelia","9780060099459 It's Christmas Eve, and Amelia Bedelia has to get the Rogers house ready for a visit from Aunt Myra. But with Amelia Bedelia in charge, this Christmas will be one of the funniest ever!",Children's Fiction
9780060177249,0060177241,The thief of always,Clive Barker,Fiction,http://books.google.com/books/content?id=jKsrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After a mysterious stranger promises to end his boredom with a trip to the magical Holiday House, ten-year-old Harvey learns that his fun has a high price",1992.0,4.19,225.0,22123.0,The thief of always: a fable,"9780060177249 After a mysterious stranger promises to end his boredom with a trip to the magical Holiday House, ten-year-old Harvey learns that his fun has a high price",Fiction
9780060541880,0060541881,Johnny and the Dead,Terry Pratchett,Juvenile Fiction,http://books.google.com/books/content?id=HgU8rJfsHmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After twelve-year-old Johnny Maxwell suddenly starts seeing and talking to ghosts, he and his friends become involved in a battle to save the local cemetery.",2006.0,3.78,213.0,7733.0,Johnny and the Dead,"9780060541880 After twelve-year-old Johnny Maxwell suddenly starts seeing and talking to ghosts, he and his friends become involved in a battle to save the local cemetery.",Children's Fiction
9780060543495,0060543493,The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,http://books.google.com/books/content?id=2LXIPoESG9kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"During a scarlet fever outbreak in 1906, thirteen-year-old Lizabeth must decide whether it is more important to be Strawberry Queen or to be at the bedside of her younger sister, who is ill.",2005.0,3.96,192.0,24.0,The Girls of Lighthouse Lane #3: Lizabeth's Story,"9780060543495 During a scarlet fever outbreak in 1906, thirteen-year-old Lizabeth must decide whether it is more important to be Strawberry Queen or to be at the bedside of her younger sister, who is ill.",Children's Fiction
9780060546571,0060546573,Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,http://books.google.com/books/content?id=t2pWlCpY3jQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The students of Miss Earth's class in rural Vermont experience an eventful spring when they become involved with a bullying new student, a competitive egg hunt, and genetically altered chicks.",2005.0,3.74,240.0,76.0,Three Rotten Eggs,"9780060546571 The students of Miss Earth's class in rural Vermont experience an eventful spring when they become involved with a bullying new student, a competitive egg hunt, and genetically altered chicks.",Children's Fiction
9780060575816,0060575816,Sabriel (adult),Garth Nix,Fiction,http://books.google.com/books/content?id=ugSPY6Gi_Y4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sabriel, daughter of the necromancer Abhorsen, must journey into the mysterious and magical Old Kingdom to rescue her father from the Land of the Dead.",2004.0,4.17,311.0,1296.0,Sabriel (adult),"9780060575816 Sabriel, daughter of the necromancer Abhorsen, must journey into the mysterious and magical Old Kingdom to rescue her father from the Land of the Dead.",Fiction
9780060622138,006062213X,Shadow of the Almighty,Elisabeth Elliot,Religion,http://books.google.com/books/content?id=QQCG9mNU1eAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The bestselling account of the martyrdom of Jim Elliot and four other missionaries at the hands of the Auca Indians in Ecuador. New introduction by the author.,1989.0,4.39,272.0,6658.0,Shadow of the Almighty: The Life and Testament of Jim Elliot,9780060622138 The bestselling account of the martyrdom of Jim Elliot and four other missionaries at the hands of the Auca Indians in Ecuador. New introduction by the author.,Nonfiction
9780060747473,0060747471,This Rough Magic,Mary Stewart,Fiction,http://books.google.com/books/content?id=BjFn9MD8n10C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A fledgling actress vacationing in Corfu, Lucy Waring witnesses the murder of one of England's theater luminaries and becomes embroiled in a dangerous offstage drama. Reprint.",2004.0,4.05,373.0,4966.0,This Rough Magic,"9780060747473 A fledgling actress vacationing in Corfu, Lucy Waring witnesses the murder of one of England's theater luminaries and becomes embroiled in a dangerous offstage drama. Reprint.",Fiction
9780060760823,0060760826,A Couple of April Fools,Gregory Maguire,Juvenile Fiction,http://books.google.com/books/content?id=qW4cvgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"At a Vermont elementary school, April Fools' Day takes on a sinister tone when a teacher goes missing and several suspects emerge, among them the teacher's fiance and a missing mutant chick.",2005.0,3.5,240.0,3.0,A Couple of April Fools,"9780060760823 At a Vermont elementary school, April Fools' Day takes on a sinister tone when a teacher goes missing and several suspects emerge, among them the teacher's fiance and a missing mutant chick.",Children's Fiction
9780060790592,0060790598,Mysteries of Pittsburgh,Michael Chabon,Fiction,http://books.google.com/books/content?id=wh8B41h8bqQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"By the Pulitzer Prize-winning author of The Amazing Adventures of Kavalier & Clay This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005.0,3.64,320.0,21338.0,Mysteries of Pittsburgh: A Novel,"9780060790592 By the Pulitzer Prize-winning author of The Amazing Adventures of Kavalier & Clay This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",Fiction
9780060834005,0060834005,Black Boy,Richard Wright,Biography & Autobiography,http://books.google.com/books/content?id=orAc3Eok-G8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Traces the author's coming of age in the Jim Crow-era South, a period during which he struggled to survive while journeying from innocence to adulthood.",2005.0,4.05,432.0,89.0,Black Boy: A Record of Childhood and Youth,"9780060834005 Traces the author's coming of age in the Jim Crow-era South, a period during which he struggled to survive while journeying from innocence to adulthood.",Nonfiction
9780060880125,0060880120,How to Be Popular,Meg Cabot,Juvenile Fiction,http://books.google.com/books/content?id=uRsWyFiZcIkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sixteen-year-old Steph Landry finds an old book on how to be popular and decides to change her social status by following its advice, much to the bafflement of her two best friends.",2006.0,3.54,288.0,19183.0,How to Be Popular,"9780060880125 Sixteen-year-old Steph Landry finds an old book on how to be popular and decides to change her social status by following its advice, much to the bafflement of her two best friends.",Children's Fiction
9780060885458,0060885459,The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,http://books.google.com/books/content?id=_HqHxm0kuIUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"During their first four years of marriage, Laura and Almanzo Wilder have a child and fight a losing battle in their attempts to succeed at farming on the South Dakota prairie. Reissue.",2007.0,3.88,126.0,27390.0,The First Four Years,"9780060885458 During their first four years of marriage, Laura and Almanzo Wilder have a child and fight a losing battle in their attempts to succeed at farming on the South Dakota prairie. Reissue.",Children's Fiction
9780060891565,0060891564,Eaters of the Dead,Michael Crichton,Fiction,http://books.google.com/books/content?id=o2yu6uJF2SoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An ambassador of the tenth-century Caliph of Bagdad is carried off by the Norsemen to endure, for three years, the harshness of their way of life and the creatures that terrorize them.",2006.0,3.66,304.0,27412.0,Eaters of the Dead,"9780060891565 An ambassador of the tenth-century Caliph of Bagdad is carried off by the Norsemen to endure, for three years, the harshness of their way of life and the creatures that terrorize them.",Fiction
9780060906825,0060906820,DREAM & THE UNDERWOR,James Hillman,Psychology,http://books.google.com/books/content?id=-vMpuwPRVFsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a deepening of the thinking begun in The Myth of Analysis and Re-Visioning Psychology, James Hillman develops the first new view of dreams since Freud and Jung.",1979.0,4.23,256.0,709.0,DREAM & THE UNDERWOR,"9780060906825 In a deepening of the thinking begun in The Myth of Analysis and Re-Visioning Psychology, James Hillman develops the first new view of dreams since Freud and Jung.",Nonfiction
9780060913076,006091307X,The Crying of Lot 49,Thomas Pynchon,Fiction,http://books.google.com/books/content?id=njOBt0OWKOQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The highly original satire about Oedipa Maas, a woman who finds herself enmeshed in a worldwide conspiracy, meets some extremely interesting characters, and attains a not inconsiderable amount of self knowledge.",1966.0,3.7,152.0,54061.0,The Crying of Lot 49,"9780060913076 The highly original satire about Oedipa Maas, a woman who finds herself enmeshed in a worldwide conspiracy, meets some extremely interesting characters, and attains a not inconsiderable amount of self knowledge.",Fiction
9780060915186,0060915188,An American Childhood,Annie Dillard,Biography & Autobiography,http://books.google.com/books/content?id=tRihTvnOM-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A book that instantly captured the hearts of readers across the country, An American Childhood is Pulitzer Prize-winning author Annie Dillard's poignant, vivid memoir of growing up in Pittsburgh in the 1950s.",1988.0,3.91,255.0,7086.0,An American Childhood,"9780060915186 A book that instantly captured the hearts of readers across the country, An American Childhood is Pulitzer Prize-winning author Annie Dillard's poignant, vivid memoir of growing up in Pittsburgh in the 1950s.",Nonfiction
9780060916510,0060916516,Jonah's Gourd Vine,Zora Neale Hurston,Fiction,http://books.google.com/books/content?id=g8KrkJIcFgYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"John Buddy Pearson, a young Black man who becomes a popular pastor at Zion Hope, is unable to reconcile his good intentions and his natural instincts",1990.0,4.0,229.0,1619.0,Jonah's Gourd Vine,"9780060916510 John Buddy Pearson, a young Black man who becomes a popular pastor at Zion Hope, is unable to reconcile his good intentions and his natural instincts",Fiction
9780060921712,0060921714,The Complete Stories,Zora Neale Hurston,Fiction,http://books.google.com/books/content?id=t2NozDINo3UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A collection of short stories, most of which appeared in literary magazines during the author's lifetime, along with previously unpublished works, spans the career of one of the century's foremost African-American writers. Reprint.",1996.0,4.25,336.0,735.0,The Complete Stories,"9780060921712 A collection of short stories, most of which appeared in literary magazines during the author's lifetime, along with previously unpublished works, spans the career of one of the century's foremost African-American writers. Reprint.",Fiction
9780060929596,0060929596,As Nature Made Him,John Colapinto,Medical,http://books.google.com/books/content?id=92jVVLpg3rcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Tells the story of a man whose botched circumcision as a baby and subsequent surgical alteration to a female was mistakenly used as an argument for the success of such procedures.,2001.0,3.97,320.0,5282.0,As Nature Made Him: The Boy Who Was Raised as a Girl,9780060929596 Tells the story of a man whose botched circumcision as a baby and subsequent surgical alteration to a female was mistakenly used as an argument for the success of such procedures.,Nonfiction
9780060956868,0060956860,Joy in the Morning,Betty Smith,Fiction,http://books.google.com/books/content?id=w2uMGXpNlzAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The story of a young couple from Brooklyn who marry young, have little money, and face bitter parental opposition, but are determined to make something of their life together.",2000.0,3.9,296.0,5559.0,Joy in the Morning,"9780060956868 The story of a young couple from Brooklyn who marry young, have little money, and face bitter parental opposition, but are determined to make something of their life together.",Fiction
9780060974992,0060974990,Savage Inequalities,Jonathan Kozol,Education,http://books.google.com/books/content?id=UEJ3QAukj9oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"National Book Award-winning author Jonathan Kozol presents his shocking account of the American educational system in this stunning New York Times bestseller, which has sold more than 250,000 hardcover copies.",1992.0,4.24,272.0,15021.0,Savage Inequalities: Children in America's Schools,"9780060974992 National Book Award-winning author Jonathan Kozol presents his shocking account of the American educational system in this stunning New York Times bestseller, which has sold more than 250,000 hardcover copies.",Nonfiction
9780060975944,0060975946,The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction,http://books.google.com/books/content?id=B2jEu6nRszUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A portrait of America as seen through the eyes of its new arrivals follows the story of an intensely feminine Cuban-Irish family of fourteen daughters and its one doggedly masculine son,1996.0,3.69,496.0,457.0,The Fourteen Sisters of Emilio Montez O'Brien,9780060975944 A portrait of America as seen through the eyes of its new arrivals follows the story of an intensely feminine Cuban-Irish family of fourteen daughters and its one doggedly masculine son,Fiction
9780060976118,006097611X,Operation Wandering Soul,Richard Powers,Fiction,http://books.google.com/books/content?id=nIGImQLvA9gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Highly imaginative and emotionally powerful, this stunning novel about childhood innocence amid the nightmarish disease and deterioration at the heart of modern Los Angeles was nominated for a National Book Award.",1994.0,3.62,352.0,366.0,Operation Wandering Soul,"9780060976118 Highly imaginative and emotionally powerful, this stunning novel about childhood innocence amid the nightmarish disease and deterioration at the heart of modern Los Angeles was nominated for a National Book Award.",Fiction
9780061052392,0061052396,Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman,Fiction,http://books.google.com/books/content?id=ieAFAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the tradition of ""The Wheel of Time, "" this lavishly illustrated work is a definitive reference guide to the fantasy worlds of bestselling authors Weis and Hickman. Illustrations, many in full color.",1999.0,4.04,218.0,47.0,Realms of Dragons: The Worlds of Weis and Hickman,"9780061052392 In the tradition of ""The Wheel of Time, "" this lavishly illustrated work is a definitive reference guide to the fantasy worlds of bestselling authors Weis and Hickman. Illustrations, many in full color.",Fiction
9780061053566,0061053562,The Player of Games,Iain Banks,Fiction,http://books.google.com/books/content?id=io0JAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Gurgeh, a champion game player, travels a hundred thousand light years to the Empire of Azad, where the winner of their complex game becomes emperor",1997.0,4.27,293.0,43988.0,The Player of Games,"9780061053566 Gurgeh, a champion game player, travels a hundred thousand light years to the Empire of Azad, where the winner of their complex game becomes emperor",Fiction
9780061054686,0061054682,Fugitive Prince,Janny Wurts,Fiction,http://books.google.com/books/content?id=tBINjRrDqmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Half brothers Lysaer, the Prince of the Light, and Arithon, the Master of Shadow, engage in violent conflict in the wake of the Vastmark Warhost's destruction and the strategies of the Koriani Enchantresses",1998.0,3.88,704.0,59.0,Fugitive Prince,"9780061054686 Half brothers Lysaer, the Prince of the Light, and Arithon, the Master of Shadow, engage in violent conflict in the wake of the Vastmark Warhost's destruction and the strategies of the Koriani Enchantresses",Fiction
9780062508867,0062508865,Muhammad,Karen Armstrong,Biography & Autobiography,http://books.google.com/books/content?id=FbDVDnPRXKoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,This vivid and detailed biography strips away centuries of distortion and myth and presents a balanced view of the man whose religion continues to dramatically affect the course of history.,1993.0,4.15,304.0,4795.0,Muhammad,9780062508867 This vivid and detailed biography strips away centuries of distortion and myth and presents a balanced view of the man whose religion continues to dramatically affect the course of history.,Nonfiction
9780062700254,0062700251,Bulfinch's Mythology,Richard P. Martin,Reference,http://books.google.com/books/content?id=eev4uAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A beautiful gift edition of Thomas Bulfinch's classic retelling of famous myths and folk legends, with interpretive essays by Princeton classics professor Richard P. Martin.",1991.0,4.1,768.0,64.0,"Bulfinch's Mythology: The Age of the Fable, The Age of Chivalry, Legends of","9780062700254 A beautiful gift edition of Thomas Bulfinch's classic retelling of famous myths and folk legends, with interpretive essays by Princeton classics professor Richard P. Martin.",Nonfiction
9780064405478,0064405478,Betsy Was a Junior,Maud Hart Lovelace,Juvenile Fiction,http://books.google.com/books/content?id=TNcQQCH_NMgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A small town shortly after the turn of the century provides the background for this account of Betsy's third year at Deep Valley High. Reissue.,1995.0,4.17,320.0,4744.0,Betsy Was a Junior,9780064405478 A small town shortly after the turn of the century provides the background for this account of Betsy's third year at Deep Valley High. Reissue.,Children's Fiction
9780064408745,0064408744,The Good Liar,Gregory Maguire,Juvenile Fiction,http://books.google.com/books/content?id=NLBPD7kd5YQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Now an old man living in the United States, Marcel recalls his childhood in German-occupied France, especially the summer that he and his older brother RenT befriended a young German soldier. Reprint.",2002.0,3.53,144.0,122.0,The Good Liar,"9780064408745 Now an old man living in the United States, Marcel recalls his childhood in German-occupied France, especially the summer that he and his older brother RenT befriended a young German soldier. Reprint.",Children's Fiction
9780064409902,0064409902,Old Town in the Green Groves,Cynthia Rylant;Jim LaMarche,Juvenile Fiction,http://books.google.com/books/content?id=YUQMAXdqvhgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After grasshoppers ruin the crops, eight-year-old Laura Ingalls and her family leave Plum Creek and move to Burr Oak, Iowa, where they experience life in a small town and help manage a hotel. Reprint.",2004.0,4.04,176.0,4631.0,Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Years,"9780064409902 After grasshoppers ruin the crops, eight-year-old Laura Ingalls and her family leave Plum Creek and move to Burr Oak, Iowa, where they experience life in a small town and help manage a hotel. Reprint.",Children's Fiction
9780064410724,0064410722,Four Stupid Cupids,Gregory Maguire,Juvenile Fiction,http://books.google.com/books/content?id=471OUKKACq8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,The students' scheme to find a love match for their beloved teacher on Valentine's Day turns into a comedy of errors when four stupid cupids from Ancient Greece try to help.,2001.0,3.52,224.0,110.0,Four Stupid Cupids,9780064410724 The students' scheme to find a love match for their beloved teacher on Valentine's Day turns into a comedy of errors when four stupid cupids from Ancient Greece try to help.,Children's Fiction
9780064440950,0064440958,Chester,Syd Hoff,Juvenile Fiction,http://books.google.com/books/content?id=DiGFBC7APpYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Chester, a wild horse who wants to be tame, comes to the city looking for a home. ‘Reading for fun: the artist’s sense of pacing makes this book race along.’ —Saturday Review.",1986.0,3.75,64.0,187.0,Chester,"9780064440950 Chester, a wild horse who wants to be tame, comes to the city looking for a home. ‘Reading for fun: the artist’s sense of pacing makes this book race along.’ —Saturday Review.",Children's Fiction
9780070488205,0070488207,Virgin,James Patterson,Fiction,,The Blessed Virgin's deliverance of a prophecy to a peasant girl in Fatima in 1914 is followed years later by signs and omens including worldwide droughts and famines that signify its imminent fulfillment,1980.0,3.86,210.0,300.0,Virgin,9780070488205 The Blessed Virgin's deliverance of a prophecy to a peasant girl in Fatima in 1914 is followed years later by signs and omens including worldwide droughts and famines that signify its imminent fulfillment,Fiction
9780071348270,0071348271,Mission Possible,Ken Blanchard;Terry Waghorn,Business & Economics,http://books.google.com/books/content?id=ofjQmAJBiiwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Explains how to improve one's existing organization while creating a replacement design for the future and why change is necessary to ensure the future of one's business,1999.0,3.42,242.0,0.0,Mission Possible: Becoming a World Class Organization While There's Still Time,9780071348270 Explains how to improve one's existing organization while creating a replacement design for the future and why change is necessary to ensure the future of one's business,Nonfiction
9780099134015,0099134012,A Time to Kill,John Grisham,Fiction,http://books.google.com/books/content?id=Ijgi5Hr0u7cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A Southern town is shocked when a 10-year-old black girl is raped by two white men--until the girl's father takes the law into his own hands.,1992.0,4.06,515.0,700.0,A Time to Kill,9780099134015 A Southern town is shocked when a 10-year-old black girl is raped by two white men--until the girl's father takes the law into his own hands.,Fiction
9780099429791,0099429799,Atonement,Ian McEwan,Atonement,http://books.google.com/books/content?id=jZe53wiTVbYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Fledgling writer Briony Tallis, as a 13-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",2002.0,3.89,372.0,4537.0,Atonement,"9780099429791 Fledgling writer Briony Tallis, as a 13-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",Fiction
9780099448761,0099448769,Dance Dance Dance,Haruki Murakami,Crime investigation,http://books.google.com/books/content?id=23aiRAguYcEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Combining an offbeat cast of characters with Murakami's idiosyncratic prose, this novel is an assault on all the senses, a murder mystery that is also philosophical speculation, and a dark fable of advanced capitalism.",2003.0,4.04,393.0,47494.0,Dance Dance Dance,"9780099448761 Combining an offbeat cast of characters with Murakami's idiosyncratic prose, this novel is an assault on all the senses, a murder mystery that is also philosophical speculation, and a dark fable of advanced capitalism.",Fiction
9780099461098,0099461099,Underground,Haruki Murakami,Cults,http://books.google.com/books/content?id=i2104FzgbvIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This account of the 1995 gas attack on the Tokyo subway system by a Japanese religious cult is told, based on hundreds of interviews with survivors, relatives of those who died, and the perpetrators.",2003.0,3.9,309.0,10003.0,Underground: The Tokyo Gas Attack and the Japanese Psyche,"9780099461098 This account of the 1995 gas attack on the Tokyo subway system by a Japanese religious cult is told, based on hundreds of interviews with survivors, relatives of those who died, and the perpetrators.",Nonfiction
